bullet_screen
哈哈哈
第一！！！！！
10周年啦！！！！
高考完回来补的第一期
光洙还帮智孝擦～太喜欢他俩一起了
果然都是老幺们早来了
光洙好帅！
看了好几遍的第一期啊~
忙内line啊
小问好你是否有很多朋友？？？？？
哈哈哈哈哈哈哈哈哈哈
来了来了
梦开始的地方
还在吃东西光洙
可爱
祝贺十周年！！！！
哈哈哈哈哈哈
？？？？
弹幕喃
赌徒不留给光沭么哈哈哈
红红火火恍恍惚惚，摄像导演慌张的样子很搞笑
没错
十周年粗卡！！
光洙的颜值啊真的逆龄
RM 十周年！！！粗卡！！！
漏肚子了，哈哈哈哈哈
这是奇迹嘛hhhhh
哈哈哈
嘎公
懵智
欧尼
高能
十周年！！！！
可爱可爱可爱，你好可爱呀
我光洙好帅
忙内三人组
我懵探头
祝贺RM十周年
不顺利的开始…暴雨了…
陪着你们一起跑了10年…
十周年快乐
从不发弹幕的!十周年纪念!
忙內team
奇怪的姿势又增加啦~
十周年快乐！！！我的爱
光洙是在給智孝按摩嗎
时代变了！
光洙私服好好看
这起码得3个人啊
敬业
以后也要继续跑下去啊
飞蛾
目光回避
霸气智孝
粗卡一米大
十周年快乐
我突然就泪目了
十周年快乐
么么哒全全 真乖 以及9012赛高！！！！都给我冲呀
哈哈哈哈哈哈哈哈哈哈哈哈
光洙好帅呀
哈哈哈哈哈哈飞蛾聚集
光洙快40啦
好了 我觉得一会智孝要睡觉了哈哈哈
你的小可爱突然出现
前方高萌预警
前方高能
高能预警
前方高能
高能预警
哈哈哈哈激動到破音
哈哈哈哈哈哈哈哈嗝
真的红了眼眶
不，是你来早了
十周年快乐呀
啊，十年了啊！
哈哈哈哈哈哈哈肮脏法庭
可怜的光洙哈哈
绝了
好狠
一副没睡醒的样子哈哈哈懵懵
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈好可爱
姐姐都不知道发生了什么哈哈哈哈懵懵太可爱了
又到了凌晨看剧时间
PD笑的好萌哒
哈哈哈哈哈
十周年大贺
日常嫌弃
鼻子翻身做主人
昭旻今天好漂亮
13年底开始追的
x10周年！！！开心
加油鸭
wc洙这里有点帅
大神呢哈哈哈哈哈
哈哈哈哈哈哈哈
啊啊啊啊好可爱
懵   光
嗷嗷
哈哈哈哈哈哈哈哈哈哈哈哈
我就猜的欧尼～
大神pink
10年了呀
wc40了？
哈哈哈哈哈哈
哈哈
我也爱了RM7年，比跟我老公在一起都长
death bed
death bed！
光洙气鼓鼓哈哈哈哈
十周年快乐
弹幕勒？
指甲爱了
还在吃hhh
一筐猪
Haha
0712
软萌光洙
啊啊啊啊啊大神同款！！！
啊啊啊啊泪目
十周年快乐
十周年快乐
追了十年，留个言
十年了啊。你门陪我闷也十年了！十周年快乐！！！！
我猜对啦
十周年~爱所有rm的成员们，希望一直下去
年轻人来的早啊
十周年快乐
有很多大神可以的新职业啊，但快去当经纪人吧！
十周年快乐
忙内组
全妹太可爱了
hahahhaha
好萌啊天啊
欧尼大发
光洙早饭还在嘴里吗？
好美啊呀欧尼
哈哈哈光懵姐弟好可爱
陷害
大神去做LINDA经纪人吧
SOMIN黑眼圈好重
甜甜早上好
十周年快乐
十周年快乐
十周年快乐！！！要一直跑下去啊！！！
不应该是钟国吗
这是老千
十周年快乐 留名庆祝
十年来第一次这么早（真*破音）
王CALL居然最后一名
我也惊了  努那第一次来的这么早
十周年快乐呀！！！
十周年快乐
哈哈哈  十周年快乐呀  期待一直走下去
十周年快乐
哈哈哈哈哈哈
十周年快乐！
十周年快乐！！！！！！！！
第一期的时候20岁...10年啊
哈哈哈哈哈哈
暂停成功！！！！！！！
rm要一直跑下去
十周年快乐继续，快乐奔跑，我最爱的唯一的综艺节目目
来了来了  十周年快乐
正音，好像就来过一次吧
光洙，一说话暴雨如注
大神还欠光洙一个弹脑门，哈哈哈
哈哈哈哈哈哈哈哈是欧尼呀
十周年快乐啊啊啊
十周年快乐
给给巴巴
十周年快乐！！！！
十周年快乐！所有成员继续健康平安！爱你们！
十岁快乐
十周年快乐
十周年快乐
欧尼 撒浪嗨❤️
无知二人组
十周年快乐快乐
这个小可爱是我妻
十周年 一直坚守
不服了拔刀吧
光洙36岁了
我还以为我关了弹幕
十周年快乐，我也几乎看了十年了
梦开始的地方
十周年快乐！！！！
十周年快乐！
懵 
十周年快乐
可爱啊啊啊啊
十周年快乐
哈哈哈哈哈哈哈哈哈
十周年快乐^O^
十周年快乐
十周年快乐
忙内最早
十周年快乐
十周年快乐！！！！！
我真的好早来呀哈哈哈哈嗝
十周年快乐
十周年快乐
十周年快乐
十周年快乐
十周年快乐
表白表白老子熬夜看我特么爱你爱你爱你啊
十周年快乐
十周年快乐哟 rm4ever
欧尼kiyo
我特么惊了
还在吃早餐hhhh
十周年快乐！
十周年快樂~~~~~
懵然不知啊
小桃子，我赌你没看到这句话
梦开始的地方
十周年快乐！成员们都要健康。
果然是姐弟啊
生日快乐
是我生日诶
卧槽6666666
十周年快乐！
懵智爱了
光疯
不愧是你
永远奔跑！！！永远年轻！！！
全妹宝藏女孩
每期都能看到狗哥，开心
十周年快乐！❤️
可爱爆炸
真实姐弟情hhhhhhhh
你们看了记得点赞呀
death bed！被bgm炸出来！这首歌超级好听
懵智小可爱！！！
hahahhahahha
十周年快乐！谢谢你们带给我这么多快乐呀！
十周年快乐!!!!!都要好好的!
十周年快乐
十周年快乐！
前排建议：第一次观看请关闭弹幕，本期无上帝视角，不被剧透观感更好！！！
十周年！！！！真的做到鼻酱80岁吧！！❤️❤️❤️
哈哈哈哈哈哈哈
欧尼还是疲惫憔悴的样子
death bad！！！！！！！/
前排建议：第一次观看请关闭弹幕，本期无上帝视角，不被剧透观感更好！！！
哈哈哈哈
光洙帅的
梦开始的地方
来啦来啦
我爱runningman~
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
十周年快乐！！！一直陪着你！！
哈哈哈哈哈
十周年快乐！永远爱rm！
光洙！
成功！！！！
十周年快乐嗷！！！！！
十周年
鼻叔难道又要变装了吗哈哈
十周年快乐
十周年快乐
十周年快乐！
合影哈哈哈比你们
十周年快乐
十周年快乐，快乐，快乐
十周年嗨皮
